,epsilon,epsilon (m),min_samples,nb_clusters,silhouette w/noise,silhouette w/o noise,noise
0,7.848061528802386e-06,50.0,2,676,0.642905732914548,0.7897931123192545,0.08283354079438723
1,7.848061528802386e-06,50.0,4,368,0.5186413109717224,0.8189276575022554,0.167477650786466
2,7.848061528802386e-06,50.0,6,258,0.4560097375267698,0.8701284463981044,0.22575534683716195
3,7.848061528802386e-06,50.0,10,149,0.2935337087844681,0.8894677172835288,0.3229602806382256
4,1.5696123057604773e-05,100.0,2,604,0.7225700577938177,0.8271466427303104,0.05782505375127306
5,1.5696123057604773e-05,100.0,4,356,0.6190267157918926,0.8518566548306278,0.12775828901210817
6,1.5696123057604773e-05,100.0,6,252,0.5400991354889007,0.875913051446552,0.18286748896684396
7,1.5696123057604773e-05,100.0,10,159,0.4026328656809845,0.8903866662059197,0.26490890573724113
8,3.1392246115209545e-05,200.0,2,532,0.7236925829386823,0.7987540129340017,0.04220889442118366
9,3.1392246115209545e-05,200.0,4,323,0.665200044104318,0.8471682469025349,0.10026026932216815
10,3.1392246115209545e-05,200.0,6,239,0.5919670806332675,0.8557840071327252,0.14541133868960054
11,3.1392246115209545e-05,200.0,10,153,0.4876025965576967,0.8874789238084164,0.21839990947154012
12,7.848061528802385e-05,499.99999999999994,2,478,0.8637199704511697,0.9170674098866409,0.028176983139074345
13,7.848061528802385e-05,499.99999999999994,4,304,0.7851528636489059,0.9297195276450468,0.07638338802761117
14,7.848061528802385e-05,499.99999999999994,6,233,0.7200611220291764,0.9326437561868195,0.11236845083173022
15,7.848061528802385e-05,499.99999999999994,10,148,0.5993622548326271,0.9438623232503498,0.18275432839198824
16,0.00011772092293203579,750.0,2,473,0.8662920373044659,0.9086542694546071,0.022518954396288333
17,0.00011772092293203579,750.0,4,298,0.7903260563354259,0.925054628926058,0.07140432273395948
18,0.00011772092293203579,750.0,6,230,0.7281716532882252,0.9278471545781992,0.10591829806495417
19,0.00011772092293203579,750.0,10,146,0.605335959506586,0.9345871006825714,0.17517256987665497
20,0.0001569612305760477,999.9999999999999,2,450,0.8772673719342818,0.9137233151828505,0.019350458300328166
21,0.0001569612305760477,999.9999999999999,4,288,0.8022156609633051,0.9234323672361657,0.06438836709290484
22,0.0001569612305760477,999.9999999999999,6,224,0.7510385400349717,0.9352038052156951,0.09743125495077515
23,0.0001569612305760477,999.9999999999999,10,146,0.6369374223635357,0.94101461941253,0.1614801403191128
